index,Abbreviation,Formula,Misbalance
0,ARGINYLTRANSFERASE-RXN,Charged-ARG-tRNAs_c + General-Protein-Substrates_c <=> Protein-N-terminal-L-Arginine_c + h_c + trnaarg_c,"{'charge': 1.0, 'H': 1.0, 'R': 1.0}"
1,3-OXOACID-COA-TRANSFERASE-RXN,A-3-OXO-ACID_c + succoa_c <=> 3oacoa_c + succ_c,"{'C': -21.0, 'H': -31.0, 'N': -7.0, 'O': -15.0, 'P': -3.0, 'S': -1.0}"
2,RXN-14950,Octanoylated-Gcv-H_c + 2.0 Sulfurated-Sulfur-Acceptors_c + 2.0 amet_c <=> PROTEIN-LIPOYLLYSINE_c + 2.0 Unsulfurated-Sulfur-Acceptors_c + 2.0 dad_5_c + 2.0 h_c + 2.0 met__L_c,{'H': 4.0}
3,RXN-14577,CPD0-1162_c + coa_c + h2o_c + h_c + nad_c + o2_c --> CPD-7221_c + accoa_c + h2o2_c + nadh_c,{'charge': -2.0}
4,RXN-11634,18S-rRNA-adenine1779-adenine1780_c + 4.0 amet_c <=> 18S-rRNA-N6-dimethyladenine1779-1780_c + 4.0 ahcys_c + 4.0 h_c,"{'C': -4.0, 'H': -8.0}"
5,RXN-14665,Beta-keto-Tyr-S-NovH_c + h_c + nadph_c + o2_c --> 2-OH-beta-keto-Tyr-S-NovH_c + h2o_c + nadp_c,{'O': -1.0}
6,RXN-15041,D-aminoacyl-tRNAs_c + h2o_c --> All-tRNAs_c + D-Amino-Acids_c + 2.0 h_c,"{'charge': 1.0, 'O': -1.0}"
7,RXN-12518,cis-5-enoyl-CoA_c + o2_c --> h2o2_c + trans-2-cis-5-dienoyl-CoA_c,{'H': 2.0}
8,TRPO2,2.0 h_c + o2_c + trp__L_c --> Lfmkynr_c,{'charge': -2.0}
9,RXN-10655,3-hydroxy-cis-D7-tetraecenoyl-ACPs_c + nadp_c <=> 3-oxo-cis-D7-tetradecenoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
10,RXN-11026-CPD-9965/OXYGEN-MOLECULE//POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32/HYDROGEN-PEROXIDE.84.,CPD-9965_c + o2_c --> POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32_c + h2o2_c,{'charge': 4.0}
11,RXN-11026-PALMITYL-COA/OXYGEN-MOLECULE//POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24/HYDROGEN-PEROXIDE.88.,o2_c + pmtcoa_c --> POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24_c + h2o2_c,{'charge': 4.0}
12,RXN-11026-TETRADECANOYL-COA/OXYGEN-MOLECULE//POLYMER-INST-TRANS-D2-ENOYL-COA-C10-H20/HYDROGEN-PEROXIDE.93.,o2_c + tdcoa_c --> POLYMER-INST-TRANS-D2-ENOYL-COA-C10-WATER_c + h2o2_c,{'charge': 4.0}
13,RXN1G-613,cis-cis-D9-27-3-hydroxyC46-2-ACPs_c + nadp_c <=> cis-cis-D9-27-3-oxo-C46-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
14,RXN1G-481,cis-cis-D15-27-3-hydroxyC46-2-ACPs_c + nadp_c <=> cis-cis-D15-27-3-oxo-C46-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
15,RXN1G-409,cis-cis-D19-37-3-hydroxyC56-2-ACPs_c + nadp_c <=> cis-cis-D19-37-3-oxo-C56-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
16,RXN1G-717,cis-cis-D17-29-3-hydroxyC48-2-ACPs_c + nadp_c <=> cis-cis-D17-29-3-oxo-C48-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
17,RXN0-2142,b-Hydroxy-cis-D5-dodecenoyl-ACPs_c + nadp_c <=> b-Keto-cis-D5-dodecenoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
18,RXN1G-203,cis-cis-D13-25-3-hydroxyC44-2-ACPs_c + nadp_c <=> cis-cis-D13-25-3-oxo-C44-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
19,RXN1G-262,cis-cis-D7-19-3-hydroxyC38-2-ACPs_c + nadp_c <=> cis-cis-D7-19-3-oxo-C38-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
20,D-THREO-ALDOSE-1-DEHYDROGENASE-RXN,CPD-8548_c + nad_c <=> CPD-8549_c + h_c + nadh_c,{'H': 2.0}
21,RXN1G-951,cis-cis-D19-31-3-hydroxyC50-2-ACPs_c + nadp_c <=> cis-cis-D19-31-3-oxo-C50-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
22,RXN1G-853,cis-cis-D11-29-3-hydroxyC48-2-ACPs_c + nadp_c <=> cis-cis-D11-29-3-oxo-C48-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
23,RXN1G-617,cis-cis-D21-39-3-hydroxyC58-2-ACPs_c + nadp_c <=> cis-cis-D21-39-3-oxo-C58-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
24,RXN1G-182,cis-cis-D5-23-3-hydroxyC42-2-ACPs_c + nadp_c <=> cis-cis-D5-23-3-oxo-C42-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
25,RXN1G-1247,cis-cis-D15-33-3-hydroxyC52-2-ACPs_c + nadp_c <=> cis-cis-D15-33-3-oxo-C52-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
26,RXN1G-384,cis-cis-D7-25-3-hydroxyC44-2-ACPs_c + nadp_c <=> cis-cis-D7-25-3-oxo-C44-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
27,3.1.1.73-RXN,Feruloyl-eolysaccharides_c + h2o_c --> Polysaccharides_c + fer_c + 2.0 h_c,"{'charge': 1.0, 'H': 9.0, 'O': 3.0, 'C': 10.0}"
28,RXN-11476,3-Hydroxyglutaryl-ACP-methyl-ester_c + nadp_c <=> 3-Ketoglutaryl-ACP-methyl-ester_c + h_c + nadph_c,{'H': 2.0}
30,RXN-9552,R-3-hydroxypetroselinoyl-ACPs_c + nadp_c <=> 3-oxo-eetroselinoyl-ACPs_c + h_c + nadph_c,{'H': 2.0}
31,RXN1G-637,cis-cis-D11-23-3-hydroxyC42-2-ACPs_c + nadp_c <=> cis-cis-D11-23-3-oxo-C42-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
32,RXN-11480,hpmeACP_c + nadp_c <=> 3-Ketopimeloyl-ACP-methyl-esters_c + h_c + nadph_c,"{'C': -19.0, 'H': -31.0, 'N': -2.0, 'O': -11.0, 'P': -1.0, 'R': -1.0, 'S': -1.0}"
33,RXN1G-184,cis-cis-D17-35-3-hydroxyC54-2-ACPs_c + nadp_c <=> cis-cis-D17-35-3-oxo-C54-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
37,RXN1G-408,cis-cis-D5-17-3-hydroxyC36-2-ACPs_c + nadp_c <=> cis-cis-D5-17-3-oxo-C36-2-ACPs_c + h_c + nadph_c,{'H': 2.0}
