WellID,Name,BiGG,Growth,GSMM,PM-GSMM
A1,Negative control,,False,,0.0
A2,L-arabinose,arab__L,True,0.43,4.0
A3,N-acetyl-D-glucosamine,acgam,True,0.0,2.0
A4,D-saccharic acid,,False,,0.0
A5,Succinic acid,succ,True,0.0,2.0
A6,D-galactose,gal_bD,True,0.48,4.0
A7,L-aspartic acid,asp__L,False,0.0,3.0
A8,L-proline,pro__L,True,0.17,4.0
A9,D-alanine,ala_B,True,0.0,2.0
A10,D-trehalose,tre,True,0.96,4.0
A11,D-mannose,man,True,0.0,2.0
A12,Dulcitol,galt,False,0.48,1.0
B1,D-serine,ser__D,False,,0.0
B2,D-sorbitol,sbt__D,False,0.48,1.0
B3,Glycerol,glyc,True,0.24,4.0
B4,L-fucose,fuc__L,True,,0.0
B5,D-glucoronic acid,,False,,0.0
B6,D-gluconic acid,glcn,True,0.32,4.0
B7,D.L-a-glycerol-phosphate,glyc3p,False,0.24,1.0
B8,D-xylose,xyl__D,True,0.43,4.0
B9,L-lactic acid,lac__L,True,0.0,2.0
B10,Formic acid,for,False,0.0,3.0
B11,D-mannitol,mnl,True,0.48,4.0
B12,L-glutamic acid,glu__L,True,0.06,4.0
C1,D-glucose-6-phosphate,g6p,False,0.48,1.0
C2,D-galactonic acid-gammalactone,,False,,0.0
C3,D-L-malic acid,mal__L,False,0.0,3.0
C4,D-ribose,rib__D,True,0.25,4.0
C5,Tween 20,,False,,0.0
C6,L-rhamnose,rmn,True,,0.0
C7,D-fructose,fru,True,0.48,4.0
C8,Acetic acid,ac,False,0.0,3.0
C9,a-D-glucose,glc_A,True,,0.0
C10,Maltose,malt,True,0.96,4.0
C11,D-melibiose,melib,False,0.96,1.0
C12,Thymidine,thymd,False,,0.0
D1,L-asparagine,asn__L,True,0.0,2.0
D2,D-aspartic acid,asp__D,False,0.0,3.0
D3,D-glucosaminic acid,,False,,0.0
D4,1.2.-Propanediol,12ppd__R,False,0.24,1.0
D5,Tween 40,,False,,0.0
D6,A-Keto-glutaric acid,akg,True,0.05,4.0
D7,a-Keto-butyric acid,2obut,False,0.0,3.0
D8,a-methyl-D-galactoside,,False,,0.0
D9,a-D-lactose,lcts,True,,0.0
D10,Lactulose,,True,,0.0
D11,Sucrose,sucr,True,0.96,4.0
D12,Uridine,uri,False,0.0,3.0
E1,L-glutamine,gln__L,True,0.0,2.0
E2,M-tartaric acid,tartr__M,False,,0.0
E3,D-Glucose-1-phosphate,g1p,False,0.48,1.0
E4,D-fructose-6-phosphate,f6p__D,False,,0.0
E5,Tween 80,,False,,0.0
E6,a-Hydroxy glutaric acid-gammalactone,,False,,0.0
E7,a-Hydroxy butyric acid,2hb,False,,0.0
E8,b-methyl-D-glucoside,mbdg,True,,0.0
E9,Adonitol,rbt,False,0.43,1.0
E10,Maltotriose,malttr,True,1.44,4.0
E11,2-Deoxy adenosine,dad_2,False,0.0,3.0
E12,Adenosine,adn,False,0.0,3.0
F1,Glycyl-L-aspartic acid,gly_asp__L,True,,0.0
F2,Citric acid,cit,False,0.0,3.0
F3,M-inositol,inost,True,0.0,2.0
F4,D-threonine,,False,,0.0
F5,Fumaric acid,fum,True,0.0,2.0
F6,Bromo succinic acid,,False,,0.0
F7,Propionic acid,ppa,False,0.0,3.0
F8,Mucic acid,galct__D,False,,0.0
F9,Glycolic acid,glyclt,False,0.0,3.0
F10,Glycoxylic acid,,False,,0.0
F11,D-cellobiose,cellb,False,0.96,1.0
F12,Inosine,ins,False,0.0,3.0
G1,Glycyl-L-glutamic acid,gly_glu__L,True,,0.0
G2,Tricarballylic acid,tcb,False,,0.0
G3,L-serine,ser__L,True,0.09,4.0
G4,L-threonine,thr__L,True,0.0,2.0
G5,L-alanine,ala__L,True,0.09,4.0
G6,L-alanyl glycine,L_alagly,True,,0.0
G7,Acetoacetic acid,acac,False,0.14,1.0
G8,N-acetyl-b-D-Mannosamine,acmana,False,,0.0
G9,Mono methyl succinate,,True,,0.0
G10,Methyl pyruvate,,True,,0.0
G11,D-malic acid,mal__D,False,0.0,3.0
G12,L-malic acid,mal__L,True,0.0,2.0
H1,Glycyl-L-proline,gly_pro__L,True,,0.0
H2,P-hydroxy phenyl acetic acid,4hoxpac,False,,0.0
H3,M-hydroxy phenyl acetic acid,3hoxpac,False,,0.0
H4,Tyramine,tym,False,0.0,3.0
H5,D-psicose,,False,,0.0
H6,L-lyxose,lxy__L,False,,0.0
H7,Glucuronamide,,False,,0.0
H8,Pyruvic acid,pyr,False,0.09,1.0
H9,L-galactonic acid-y-lactone,,False,,0.0
H10,D-galacturonic acid,galur,True,,0.0
H11,Phenylethylamine,peamn,False,0.43,1.0
H12,2-Aminoethanol,etha,False,0.0,3.0
A1,Negative Control,,False,,
A2,Chondroitin sulfate c,,False,,
A3,a-Cyclodextrin,dextrin,False,,
A4,b-Cyclodextrin,,False,,
A5,y-Cyclodextrin,,False,,
A6,Dextrin,dextrin,False,,
A7,Gelatin,,False,,
A8,Glycogen,glycogen,False,,
A9,Inulin,,False,,
A10,Laminarin,,False,,
A11,Mannan,mannan,False,,
A12,Pectin,pectin,False,,
B1,N-acetyl-D-galactosamin,acgam,False,,
B2,N-acetyl-neuraminic acid,acnam,False,,
B3,b-D-allose,all__D,False,,
B4,Amygdalin,,False,,
B5,D-arabinose,arab__D,True,,
B6,D-arabitol,abt__D,True,,
B7,L-arabitol,abt__L,True,,
B8,Arbutin,arby,False,,
B9,2-deoxy-D-ribose,drib,False,,
B10,L-erythritol,eryth,True,,
B11,D-fucose,fuc__D,True,,
B12,3-0-b-D-galactopydanosyl-D-arabinose,,False,,
C1,Gentiobiose,,False,,
C2,L-glucose,,False,,
C3,Lactitol,,False,,
C4,D-melezitose,,True,,
C5,Maltitol,,True,,
C6,a-Mehyl-D-glucoside,madg,True,,
C7,b-Methyl-D-galactoside,mbdg,False,,
C8,3-Methylglucose,,False,,
C9,b-Metyl-D-glucoronic acid,,False,,
C10,a-Methyl-D-mannoside,,False,,
C11,b-Metyl-D-xyloside,,False,,
C12,Palatinose,pala,True,,
D1,D-raffinose,raffin,True,,
D2,Salicin,salcn,False,,
D3,Sedoheptulosan,,False,,
D4,L-sorbose,srb__L,False,,
D5,Stachyose,stchs,False,,
D6,D-tagatose,tag__D,False,,
D7,Turanose,,True,,
D8,Xylitol,xylt,True,,
D9,N-acetyl-D-glucosaminitol,,False,,
D10,GAMMA-Amino butyric acid,4abut,True,,
D11,d-Keto valeric acid,5aptn,False,,
D12,Butyric acid,but,True,,
E1,Capric acid,dca,False,,
E2,Caproic acid,hxa,False,,
E3,Citraconic acid,citac,False,,
E4,Citramalic acid,citm,False,,
E5,D-glucosamine,gam,False,,
E6,2-Hydroxy benzoic acid,salc,True,,
E7,4-Hydroxy benzoic acid,4hbz,True,,
E8,b-Hydroxy butyric acid,2hb,True,,
E9,g-Hydroxy butyric acid,ghb,False,,
E10,a-Keto valeric acid,,False,,
E11,Itaconic acid,itacon,False,,
E12,5-Keto-D-gluconic acid,5dglcn,False,,
F1,D-lactic acid methyl ester,,True,,
F2,Malonic acid,malon,False,,
F3,Melibionic acid,,False,,
F4,Oxalic acid,oxa,False,,
F5,Oxalomalic acid,,False,,
F6,Quinic acid,quin,True,,
F7,D-ribono-1-4-lactone,glcr,False,,
F8,Sebacic acid,,True,,
F9,Sorbic acid,,False,,
F10,Succinamic acid,,True,,
