model	objective	reaction	flux	status	minimum	maximum
iUma22.xml	obj	R_1__46__14__46__13__46__59__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__14__46__13__46__70__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__14__46__13__46__72__45__RXN__45__44__45__DIMETHYL__45__5ALPHA__45__CHOLEST__45__7__45__EN__45__3BET410	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__14__46__13__46__72__45__RXN__45__44__45__DIMETHYL__45__5ALPHA__45__CHOLEST__45__7__45__EN__45__3BET411	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__14__46__19__46__3__45__RXN	8.5e-05	optimal	8.5e-05	8.5e-05
iUma22.xml	obj	R_1__46__14__46__19__46__6__45__RXN	0.00624	optimal	0.00624	0.00624
iUma22.xml	obj	R_1__46__14__46__21__46__6__45__RXN__45__CPD__45__41861250	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__14__46__21__46__6__45__RXN__45__CPD__45__41861251	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__18__46__1__46__2__45__RXN	0.0	optimal	0.0	1.327184
iUma22.xml	obj	R_1__46__1__46__1__46__170__45__RXN__45__CPD__45__5846491	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__1__46__1__46__170__45__RXN__45__CPD__45__5846492	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__1__46__1__46__250__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__1__46__1__46__255__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__1__46__1__46__289__45__RXN	0.0	optimal	0.0	1000.0
iUma22.xml	obj	R_1__46__1__46__1__46__51__45__RXN__45__TESTOSTERONE431	0.0	optimal	0.0	1000.0
iUma22.xml	obj	R_1__46__2__46__1__46__31__45__RXN__45__ALLYSINE970	0.0	optimal	0.0	1000.0
iUma22.xml	obj	R_1__46__2__46__1__46__65__45__RXN	0.0	optimal	-1000.0	0.0
iUma22.xml	obj	R_1__46__2__46__1__46__9__45__RXN	0.0	optimal	0.0	520.134909
iUma22.xml	obj	R_1__46__3__46__1__46__71__45__RXN	0.040823	optimal	0.040823	0.040823
iUma22.xml	obj	R_1__46__3__46__99__46__5__45__RXN__45__CPD__45__342425	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_1__46__5__46__1__46__15__45__RXN	0.0	optimal	0.0	1000.0
iUma22.xml	obj	R_1__46__5__46__1__46__20__45__RXN	0.115865	optimal	0.0	0.115865
iUma22.xml	obj	R_1__46__5__46__1__46__9__45__RXN	0.0	optimal	0.0	999.979369
iUma22.xml	obj	R_2DGLCNRy	0.0	optimal	0.0	1000.0
iUma22.xml	obj	R_2OXOADOXm	0.0	optimal	0.0	0.663592
iUma22.xml	obj	R_2__45__HEXADECENAL__45__REDUCTASE__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_2__46__1__46__3__46__1__45__RXN	-2.198987	optimal	-1000.0	524.013503
iUma22.xml	obj	R_2__46__4__46__1__46__141__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_2__46__4__46__1__46__142__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_2__46__4__46__1__46__83__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_2__46__6__46__1__46__22__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_2__46__7__46__8__46__15__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_2__46__8__46__1__46__6__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3DSPHR	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3HAD100	0.132219	optimal	0.132219	173.851375
iUma22.xml	obj	R_3HAD120	0.132219	optimal	0.132219	173.851375
iUma22.xml	obj	R_3HAD140	0.132219	optimal	0.132219	173.510522
iUma22.xml	obj	R_3HAD160	0.132219	optimal	0.132219	173.510522
iUma22.xml	obj	R_3HAD180	0.01336	optimal	0.01336	173.732515
iUma22.xml	obj	R_3HAD40	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3HAD60	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3HAD80	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3HAO	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3HBDEH	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3HOPCD	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3MOPDECARB	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3OAR100	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3OAR120	0.132219	optimal	0.132219	173.851375
iUma22.xml	obj	R_3OAR140	0.132219	optimal	0.132219	173.510522
iUma22.xml	obj	R_3OAR160	0.132219	optimal	0.132219	173.510522
iUma22.xml	obj	R_3OAR180	-0.01336	optimal	-173.732515	-0.01336
iUma22.xml	obj	R_3OAR40	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3OAR60	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3OAR80_1	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3OAS100	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3OAS120	0.132219	optimal	0.132219	173.851375
iUma22.xml	obj	R_3OAS140	0.132219	optimal	0.132219	173.510522
iUma22.xml	obj	R_3OAS160	0.132219	optimal	0.132219	173.510522
iUma22.xml	obj	R_3OAS180	0.01336	optimal	0.01336	173.732515
iUma22.xml	obj	R_3OAS60	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3OAS80	0.132219	optimal	0.132219	130.165946
iUma22.xml	obj	R_3OXCOAT	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3__45__CH3__45__2__45__OXOBUTANOATE__45__OH__45__CH3__45__XFER__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3__45__phosphoshikimate__45__1__45__carboxyvinyltransferase__45__RXN	0.030947	optimal	0.030947	0.473342
iUma22.xml	obj	R_3__46__1__46__1__46__23__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3__46__1__46__3__46__46__45__RXN	0.0	optimal	0.0	520.134909
iUma22.xml	obj	R_3__46__1__46__3__46__7__45__RXN	0.013867	optimal	0.013867	0.013867
iUma22.xml	obj	R_3__46__6__46__3__46__10__45__RXN	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_3__46__6__46__4__46__3__45__RXN	0.0	optimal	0.0	520.134909
iUma22.xml	obj	R_3__46__6__46__4__46__5__45__RXN	0.0	optimal	0.0	520.134909
iUma22.xml	obj	R_4__45__HYDROXYPHENYLPYRUVATE__45__DIOXYGENASE__45__RXN	0.0	optimal	0.0	0.442395
iUma22.xml	obj	R_4__46__1__46__1__46__38__45__RXN	0.0	optimal	0.0	521.73324
iUma22.xml	obj	R_6__45__PHOSPHOFRUCTO__45__2__45__KINASE__45__RXN	0.0	optimal	0.0	520.134909
iUma22.xml	obj	R_AACOAR_syn	0.0	optimal	-1000.0	130.033727
iUma22.xml	obj	R_AACOAT	0.0	optimal	0.0	260.578734
iUma22.xml	obj	R_AAPSAS	-0.020631	optimal	-1000.0	999.979369
iUma22.xml	obj	R_AASAD3m	0.0	optimal	-1000.0	999.979369
iUma22.xml	obj	R_AATAi	-0.020631	optimal	-0.020631	-0.020631
iUma22.xml	obj	R_ABFPTh	0.0	optimal	0.0	520.134909
iUma22.xml	obj	R_ABTArm	0.0	optimal	0.0	1.327184
iUma22.xml	obj	R_ABTD	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_ABUTt2rL	0.0	optimal	0.0	0.0
iUma22.xml	obj	R_ACALDh	0.663393	optimal	0.0	312.871144
iUma22.xml	obj	R_ACCOAC	0.938893	optimal	0.938893	521.073802
