model	objective	reaction	status	value
iUma22.xml	obj	R_1__46__14__46__13__46__59__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__14__46__13__46__70__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__14__46__13__46__72__45__RXN__45__44__45__DIMETHYL__45__5ALPHA__45__CHOLEST__45__7__45__EN__45__3BET410	optimal	0.169108
iUma22.xml	obj	R_1__46__14__46__13__46__72__45__RXN__45__44__45__DIMETHYL__45__5ALPHA__45__CHOLEST__45__7__45__EN__45__3BET411	optimal	0.169108
iUma22.xml	obj	R_1__46__14__46__19__46__3__45__RXN	optimal	0.0
iUma22.xml	obj	R_1__46__14__46__19__46__6__45__RXN	optimal	0.0
iUma22.xml	obj	R_1__46__14__46__21__46__6__45__RXN__45__CPD__45__41861250	optimal	0.169108
iUma22.xml	obj	R_1__46__14__46__21__46__6__45__RXN__45__CPD__45__41861251	optimal	0.169108
iUma22.xml	obj	R_1__46__18__46__1__46__2__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__1__46__1__46__170__45__RXN__45__CPD__45__5846491	optimal	0.169108
iUma22.xml	obj	R_1__46__1__46__1__46__170__45__RXN__45__CPD__45__5846492	optimal	0.169108
iUma22.xml	obj	R_1__46__1__46__1__46__250__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__1__46__1__46__255__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__1__46__1__46__289__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__1__46__1__46__51__45__RXN__45__TESTOSTERONE431	optimal	0.169108
iUma22.xml	obj	R_1__46__2__46__1__46__31__45__RXN__45__ALLYSINE970	optimal	0.169108
iUma22.xml	obj	R_1__46__2__46__1__46__65__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__2__46__1__46__9__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__3__46__1__46__71__45__RXN	optimal	0.0
iUma22.xml	obj	R_1__46__3__46__99__46__5__45__RXN__45__CPD__45__342425	optimal	0.169108
iUma22.xml	obj	R_1__46__5__46__1__46__15__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__5__46__1__46__20__45__RXN	optimal	0.169108
iUma22.xml	obj	R_1__46__5__46__1__46__9__45__RXN	optimal	0.169108
iUma22.xml	obj	R_2DGLCNRy	optimal	0.169108
iUma22.xml	obj	R_2OXOADOXm	optimal	0.169108
iUma22.xml	obj	R_2__45__HEXADECENAL__45__REDUCTASE__45__RXN	optimal	0.169108
iUma22.xml	obj	R_2__46__1__46__3__46__1__45__RXN	optimal	0.169108
