locus-tag,name
UMAG_02376,PRAIi
UMAG_02376,IGPS_1
UMAG_02376,ANTPPT
UMAG_02376,ATNS
UMAG_00518,ANTPPT
UMAG_03729,ADCS
UMAG_03729,ATNS
UMAG_00304,RPE
UMAG_00304,ATNS
UMAG_04162,TRANS-RXNTFS-54
UMAG_04162,TRANS-RXNTFS-26-L-ALPHA-ALANINE//L-ALPHA-ALANINE.33.
UMAG_04162,ARGtex
UMAG_04162,TRANS-RXNTFS-26-LEU//LEU.9.
UMAG_04162,TRANS-RXNTFS-4-LYS//LYS.9.
UMAG_04162,TRANS-RXNTFS-26-SER//SER.9.
UMAG_04162,TRANS-RXNTFS-4-ARG//ARG.9.
UMAG_04162,TRANS-RXNTFS-4-HIS//HIS.9.
UMAG_04162,TRANS-RXNTFS-26-GLY//GLY.9.
UMAG_04162,TRANS-RXNTFS-26-GLN//GLN.9.
UMAG_04162,TRANS-RXNTFS-10-L-ORNITHINE//L-ORNITHINE.25.
UMAG_04162,TRANS-RXNTFS-26-PRO//PRO.9.
UMAG_01762,TRANS-RXNTFS-54
UMAG_01762,TRANS-RXNTFS-26-L-ALPHA-ALANINE//L-ALPHA-ALANINE.33.
UMAG_01762,TRANS-RXNTFS-26-LEU//LEU.9.
UMAG_01762,TRANS-RXNTFS-26-GLY//GLY.9.
UMAG_01762,TRANS-RXNTFS-26-GLN//GLN.9.
UMAG_01762,TRANS-RXNTFS-26-PRO//PRO.9.
UMAG_01762,TRANS-RXNTFS-26-SER//SER.9.
UMAG_05612,TRANS-RXNTFS-54
UMAG_02159,TRANS-RXNTFS-54
UMAG_02159,TRANS-RXNTFS-10-TYR//TYR.9.
UMAG_02159,TRANS-RXNTFS-26-L-ALPHA-ALANINE//L-ALPHA-ALANINE.33.
UMAG_02159,ARGtex
UMAG_02159,TRANS-RXNTFS-26-LEU//LEU.9.
UMAG_02159,TRANS-RXNTFS-4-LYS//LYS.9.
UMAG_02159,TRANS-RXNTFS-10-ILE//ILE.9.
UMAG_02159,TRANS-RXNTFS-26-SER//SER.9.
UMAG_02159,TRANS-RXNTFS-10-GLN//GLN.9.
UMAG_02159,TRANS-RXNTFS-4-ARG//ARG.9.
UMAG_02159,TRANS-RXNTFS-4-HIS//HIS.9.
UMAG_02159,TRANS-RXNTFS-26-GLY//GLY.9.
UMAG_02159,TRANS-RXNTFS-26-GLN//GLN.9.
UMAG_02159,TRANS-RXNTFS-26-PRO//PRO.9.
UMAG_05506,TRANS-RXNTFS-55-UDP-D-GALACTURONATE//UDP-D-GALACTURONATE.41.
UMAG_05506,TRANS-RXNTFS-55-CPD-14880//CPD-14880.21.
UMAG_05506,TRANS-RXNTFS-55-UDP-D-GALACTO-14-FURANOSE//UDP-D-GALACTO-14-FURANOSE.53.
UMAG_05506,TRANS-RXNTFS-55-CPD-9007//CPD-9007.19.
UMAG_05506,TRANS-RXNTFS-55-GDP-MANNOSE//GDP-MANNOSE.25.
UMAG_05506,TRANS-RXNTFS-55-ADP-D-GLUCOSE//ADP-D-GLUCOSE.29.
UMAG_05506,TRANS-RXNTFS-55-UDP-N-ACETYLMURAMATE//UDP-N-ACETYLMURAMATE.43.
UMAG_05506,TRANS-RXNTFS-55-UDP-D-XYLOSE//UDP-D-XYLOSE.27.
UMAG_05506,TRANS-RXNTFS-55-UDP-SULFOQUINOVOSE//UDP-SULFOQUINOVOSE.39.
UMAG_05506,TRANS-RXNTFS-55-CMP-N-ACETYL-NEURAMINATE//CMP-N-ACETYL-NEURAMINATE.51.
UMAG_05506,TRANS-RXNTFS-55-UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE//UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE.73.
UMAG_05506,TRANS-RXNTFS-55-CPD-14553//CPD-14553.21.
UMAG_05506,TRANS-RXNTFS-55-ADENOSINE_DIPHOSPHATE_RIBOSE//ADENOSINE_DIPHOSPHATE_RIBOSE.59.
UMAG_05506,TRANS-RXNTFS-55-UDP-GLUCURONATE//UDP-GLUCURONATE.33.
UMAG_05506,TRANS-RXNTFS-55-DTDP-DEOH-DEOXY-GLUCOSE//DTDP-DEOH-DEOXY-GLUCOSE.49.
UMAG_05506,TRANS-RXNTFS-55-UDP-N-ACETYL-D-GLUCOSAMINE//UDP-N-ACETYL-D-GLUCOSAMINE.55.
UMAG_05506,TRANS-RXNTFS-55-DTDP-D-GLUCOSE//DTDP-D-GLUCOSE.31.
UMAG_05506,TRANS-RXNTFS-40
UMAG_05506,TRANS-RXNTFS-55-CPD-10794//CPD-10794.21.
UMAG_05506,TRANS-RXNTFS-55-CPD-12575//CPD-12575.21.
UMAG_05506,TRANS-RXNTFS-21
UMAG_01023,AICARTRANSFORM-RXN
UMAG_01023,IMPC
UMAG_02125,GLUDC
UMAG_02125,ASP1DC
UMAG_02125,LCYSTCBOXL
UMAG_02125,3SALACBOXL
UMAG_05746,ARGINYLTRANSFERASE-RXN
UMAG_05812,CYCLOHEXANONE-MONOOXYGENASE-RXN
UMAG_05812,CYCLOPENTANONE-MONOOXYGENASE-RXN
UMAG_03415,CYCLOHEXANONE-MONOOXYGENASE-RXN
UMAG_05958,TRANS-RXN-245-ALPHA-MALTOSE/PROTON//ALPHA-MALTOSE/PROTON.43.
UMAG_05972,TRANS-RXN-245-ALPHA-MALTOSE/PROTON//ALPHA-MALTOSE/PROTON.43.
UMAG_10079,LANOSTEROL-SYNTHASE-RXN
UMAG_05954,TRANS-RXNTFS-57
UMAG_10038,RXN-10697
UMAG_10038,RXN-12750
UMAG_10038,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C4-H8//CPD0-2108/WATER.56.
UMAG_10038,RXN-10698
UMAG_10038,4.2.1.107-RXN
UMAG_10038,RXN-13305
UMAG_10038,RXN-10703
UMAG_10038,ECOAH3m
UMAG_10038,HACD7p
UMAG_10038,ECOAH1x
UMAG_10038,RXN-14266
UMAG_10038,RXN-14393
UMAG_10038,RXN-14794
UMAG_10038,HACD3m
UMAG_10038,RXN-14791
UMAG_10038,RXN-14805
UMAG_10038,RXN-7699-CPD-12777//T2-DECENOYL-COA/WATER.33.
UMAG_10038,LONG-CHAIN-ENOYL-COA-HYDRATASE-RXN
UMAG_10038,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C8-H16//CPD-7222/WATER.56.
UMAG_10038,HACD2m
UMAG_10038,RXN-10705
UMAG_10038,ENOYL-COA-HYDRAT-RXN-POLYMER-INST-L-3-HYDROXYACYL-COA-C8-H16//CPD-7222/WATER.56.
UMAG_10038,ENOYL-COA-HYDRAT-RXN-POLYMER-INST-L-3-HYDROXYACYL-COA-C14-H28//CPD-10262/WATER.58.
UMAG_10038,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C10-H20//POLYMER-INST-TRANS-D2-ENOYL-COA-C10-H20/WATER.88.
UMAG_10038,RXN-13303
UMAG_10038,OHACYL-COA-DEHYDROG-RXN-POLYMER-INST-L-3-HYDROXYACYL-COA-C10-H20/NAD//CPD-10284/NADH/PROTON.68.
UMAG_10038,RXN-14797
UMAG_10038,ENOYL-COA-HYDRAT-RXN-OH-HEXANOYL-COA//CPD0-2121/WATER.33.
UMAG_10038,HBCHLR
UMAG_10038,RXN-9545
UMAG_10038,RXN-11245
UMAG_10038,RXN-11244
UMAG_10038,RXN-14801
UMAG_10038,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C12-H24//POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24/WATER.88.
UMAG_10038,RXN-9847
UMAG_10038,RXN-13302
UMAG_10038,DHACOAH
UMAG_10038,ECOAH9m
UMAG_10038,RXN-7699-CPD-14275//POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32/WATER.57.
UMAG_10038,HACD9m
UMAG_10038,RXN-14786
