index,Abbreviation,Formula,Misbalance
0,RXN-14577,CPD0-1162_c + coa_c + h2o_c + h_c + nad_c + o2_c --> CPD-7221_c + accoa_c + h2o2_c + nadh_c,{'charge': -2.0}
1,TRPO2,2.0 h_c + o2_c + trp__L_c --> Lfmkynr_c,{'charge': -2.0}
2,RXN-11026-CPD-9965/OXYGEN-MOLECULE//POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32/HYDROGEN-PEROXIDE.84.,CPD-9965_c + o2_c --> POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32_c + h2o2_c,{'charge': 4.0}
3,RXN-11026-PALMITYL-COA/OXYGEN-MOLECULE//POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24/HYDROGEN-PEROXIDE.88.,o2_c + pmtcoa_c --> POLYMER-INST-TRANS-D2-ENOYL-COA-C12-H24_c + h2o2_c,{'charge': 4.0}
4,RXN-11026-TETRADECANOYL-COA/OXYGEN-MOLECULE//POLYMER-INST-TRANS-D2-ENOYL-COA-C10-H20/HYDROGEN-PEROXIDE.93.,o2_c + tdcoa_c --> POLYMER-INST-TRANS-D2-ENOYL-COA-C10-WATER_c + h2o2_c,{'charge': 4.0}
8,RXN0-6359,Sulfurated-Sulfur-Acceptors_c + cyan_c --> Unsulfurated-Sulfur-Acceptors_c + 2.0 h_c + tcynt_c,"{'charge': 1.0, 'H': 1.0, 'S': 1.0}"
9,RXN-10981,ascb__L_c + h_c + nadp_c --> CPD-318_c + nadph_c,{'charge': -1.0}
10,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C2-H4//CPD0-2121/WATER.56.,h2o_c + hx2coa_c --> POLYMER-INST-D-3-HYDROXYACYL-COA-C2-H4_c,{'charge': 4.0}
11,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C4-H8//CPD0-2108/WATER.56.,h2o_c + oc2coa_c --> POLYMER-INST-D-3-HYDROXYACYL-COA-C4-H8_c,{'charge': 4.0}
12,RXN-7699-POLYMER-INST-D-3-HYDROXYACYL-COA-C8-H16//CPD-7222/WATER.56.,dd2coa_c + h2o_c --> POLYMER-INST-D-3-HYDROXYACYL-COA-C8-H16_c,{'charge': 4.0}
13,RXN-7699-CPD-14275//POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32/WATER.57.,POLYMER-INST-TRANS-D2-ENOYL-COA-C16-H32_c + h2o_c --> CPD-14275_c,{'charge': -4.0}
14,RXN-15212,N-acyl-sphingosylphosphorylcholine_c + h2o_c --> N-Acylsphingosine_c + cholp_c + h_c,"{'H': 12.0, 'O': 3.0, 'C': 5.0, 'N': 1.0, 'P': 1.0}"
15,RXN-11373,3-carboxy-3-dimethylammonio-eropyl-L-his_c + amet_c --> DIPHTINE_c + ahcys_c + h_c,"{'C': -1.0, 'H': -2.0}"
16,RXN-11374,amet_c + cmaphis_c --> 3-carboxy-3-dimethylammonio-eropyl-L-his_c + ahcys_c + h_c,"{'C': -1.0, 'H': -2.0}"
17,DIPS,amet_c + caphis_c --> ahcys_c + cmaphis_c + h_c,"{'C': -1.0, 'H': -2.0}"
18,RXN-14326,3.0 amet_c + caphis_c --> DIPHTINE_c + 3.0 ahcys_c + 3.0 h_c,"{'C': -3.0, 'H': -6.0}"
19,BUTYRYL-COA-DEHYDROGENASE-RXN,b2coa_c + fad_c --> btcoa_c + fadh2_c + h_c,"{'charge': 2.0, 'H': 6.0}"
20,RXN-12588,Unsulfurated-Sulfur-Acceptors_c + cys__L_c + h_c <=> Sulfurated-Sulfur-Acceptors_c + ala__L_c,"{'charge': -1.0, 'H': -1.0, 'S': -1.0}"
21,RXN-13445,CPD-14425_c + 2.0 h_c --> clpndcoa_c,{'charge': -2.0}
