UMAG_11763	K05972
UMAG_00308	K10771
UMAG_11769	K12812
UMAG_03661	K03800
UMAG_11987	K08098
UMAG_06131	K10743
UMAG_06314	K17679
UMAG_05266	K06047
UMAG_03315	K13303
UMAG_01936	K01904
UMAG_04503	K07407
UMAG_05481	K22381
UMAG_02347	K23114
UMAG_03759	K09613
UMAG_01391	K19704
UMAG_11317	K11778
UMAG_01794	K19572
UMAG_03863	K03006
UMAG_01122	K19783
UMAG_05453	K14819
UMAG_01979	K19589
UMAG_00542	K10601
UMAG_12068	K00737
UMAG_02340	K11843
UMAG_00957	K08286
UMAG_01424	K10437
UMAG_03760	K01110
UMAG_02255	K13619
UMAG_01923	K18703
UMAG_10191	K19307
UMAG_10235	K15423
UMAG_00963	K11121
UMAG_01293	K03510
UMAG_11273	K08675
UMAG_10917	K03868
UMAG_11151	K11713
UMAG_04898	K16368
UMAG_02989	K05925
UMAG_10092	K15429
UMAG_02142	K14334
UMAG_00584	K14758
UMAG_12286	K06947
UMAG_03965	K00953
UMAG_03518	K18551
UMAG_03292	K11979
UMAG_01445	K02540
UMAG_05991	K14376
UMAG_00921	K14807
UMAG_02018	K21798
UMAG_11570	K21804
UMAG_00666	K18416
UMAG_11795	K00799
UMAG_10876	K01557
UMAG_02653	K03843
UMAG_01922	K00459
UMAG_11293	K12761
UMAG_05032	K13566
UMAG_00911	K14635
UMAG_11303	K01045
UMAG_03857	K01113
UMAG_06234	K02730
UMAG_11130	K17362
UMAG_03969	K17617
UMAG_03463	K15728
UMAG_06129	K13025
UMAG_02357	K04441
UMAG_01232	K01372
UMAG_10892	K03424
UMAG_03035	K17878
UMAG_04247	K01050
UMAG_10539	K00804
UMAG_12006	K11415
UMAG_04700	K18156
UMAG_05917	K01669
UMAG_10593	K14521
UMAG_04860	K09142
UMAG_01732	K14811
UMAG_10260	K07304
UMAG_11220	K00728
UMAG_04479	K01904
UMAG_10419	K01183
UMAG_06174	K01052
UMAG_15034	K09490
UMAG_12105	K02735
UMAG_04808	K08842
UMAG_11734	K14563
UMAG_01927	K01062
UMAG_01947	K00428
UMAG_03897	K18043
UMAG_01623	K00670
UMAG_10211	K01210
UMAG_12005	K02737
UMAG_04931	K19801
UMAG_04529	K02320
UMAG_01084	K20028
UMAG_01954	K22855
UMAG_04657	K22531
UMAG_01957	K01230
UMAG_01952	K13281
UMAG_06350	K01181
UMAG_01990	K15710
UMAG_05912	K04799
UMAG_11677	K12767
UMAG_03501	K03164
UMAG_04702	K01764
UMAG_15023	K02677
UMAG_03070	K14399
UMAG_10170	K05658
UMAG_03353	K11863
UMAG_00880	K05542
UMAG_04587	K13116
UMAG_02436	K01530
UMAG_05028	K10742
UMAG_00030	K00318
UMAG_06019	K08794
UMAG_05564	K10592
UMAG_05207	K03506
UMAG_06195	K14568
UMAG_04400	K01336
UMAG_01033	K08333
UMAG_04755	K07359
UMAG_10582	K24083
UMAG_02158	K15428
UMAG_03754	K14663
UMAG_01304	K03660
UMAG_05836	K06911
UMAG_00638	K01452
UMAG_06187	K06639
UMAG_11127	K14168
UMAG_03892	K14810
UMAG_03611	K04709
UMAG_01205	K01535
UMAG_00123	K00101
UMAG_06009	K05658
UMAG_00617	K01409
UMAG_01833	K18932
UMAG_02227	K23741
UMAG_00045	K00344
UMAG_11386	K13704
UMAG_01009	K00693
UMAG_04991	K08286
UMAG_10133	K10768
UMAG_05275	K00898
UMAG_01691	K03657
UMAG_11382	K23948
UMAG_06164	K12619
UMAG_01888	K01288
UMAG_02639	K11838
UMAG_11747	K15033
UMAG_02741	K08791
UMAG_10206	K08866
UMAG_10715	K14850
UMAG_10587	K01514
UMAG_06228	K14806
UMAG_01285	K07766
UMAG_10379	K12603
UMAG_00769	K22756
UMAG_00989	K10862
UMAG_01815	K00079
UMAG_11275	K00102
UMAG_03268	K14809
UMAG_10156	K09580
UMAG_01816	K14864
UMAG_01787	K00547
UMAG_06402	K02210
UMAG_01008	K02324
UMAG_02760	K02325
UMAG_11364	K01443
UMAG_05141	K03511
UMAG_01613	K22723
UMAG_10910	K10994
UMAG_11623	K14539
UMAG_05822	K17677
UMAG_06491	K00565
UMAG_10855	K08294
UMAG_01110	K06640
UMAG_03777	K11841
UMAG_05209	K03844
UMAG_11204	K10686
UMAG_05142	K08342
UMAG_01639	K00706
UMAG_02065	K06067
UMAG_11347	K05284
UMAG_04819	K19708
UMAG_06489	K21552
UMAG_04277	K17972
UMAG_02007	K01519
UMAG_04320	K14803
UMAG_02595	K20279
UMAG_05558	K01338
UMAG_01081	K10684
UMAG_06034	K01265
UMAG_05641	K01074
UMAG_05550	K01210
UMAG_01270	K01262
UMAG_10123	K13303
UMAG_04644	K01771
UMAG_00280	K00683
UMAG_11022
UMAG_10007	K16330
UMAG_01599	K13239
UMAG_15027	K10771
UMAG_10494	K01230
UMAG_03344	K23788
UMAG_05921	K05544
UMAG_01174	K12811
UMAG_04258	K11228
UMAG_10588	K12613
UMAG_04522	K10276
